product_code,unit_of_order_code,product_name(do not edit),quantity_type(do not edit),product_tag,extra_product_details,tax_applicable(Yes or No),availability(available or limited or unavailable or hidden),cost,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,product_id(do not edit),quantity_type_id(do not edit)
'A0017','',Bananas - Small,Box (13kg),'C','','No','available',30.00,42.00,45.00,50.40,45.00,45.00,40.00,50.40,40.00,81439de3-2505-47af-8e6a-05fa288c6493,d35b4e4a-31e8-4329-8fff-9a87e9be5978
'A0019','',Bananas - Small,Kg,'C','','No','available',2.30,3.90,4.20,4.68,4.20,4.20,3.70,4.68,3.70,81439de3-2505-47af-8e6a-05fa288c6493,94ab9910-b3ea-495c-a740-198b0364a92f
'A0020','',Bananas Cooking,Box,'C','','No','available',18.00,27.00,29.00,31.00,29.00,29.00,26.00,31.00,30.00,442a3492-6baa-4c4d-aa40-5b2f79b6ec52,73f0655b-b943-5c0e-92c6-fad4b79d53b8
'P2000','',Basil,Bunch,'C','','No','available',3.12,4.00,4.25,4.50,4.25,4.25,3.90,4.50,3.50,3154930d-9370-4530-85ca-f0a25fe9e2ab,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'P2001','',Basil 'Retail Pnt',Pn,'O2','','No','available',1.60,2.50,2.80,3.00,2.80,2.80,2.20,3.00,2.20,f4850a0a-be7a-484e-a4c4-db946ed3dfcb,8f170da3-9efc-40c7-b607-758d6b00e8a2
'P2002','',Basil (Picked),Kg,'O1','','No','available',70.00,100.00,107.00,113.00,107.00,107.00,98.00,113.00,98.00,58010544-4acd-4087-9e21-05136fd29dc4,94ab9910-b3ea-495c-a740-198b0364a92f
'P2003','',Basil - Holy ,Bunch,'P3','','No','unavailable',2.00,3.10,3.50,3.80,3.50,3.50,2.70,3.80,2.70,2fbba9e6-244f-4230-a4a4-6c8c60723ec2,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'P2084','BAG',Basil - Loose,Bag (500g),'O6','','No','unavailable',12.00,18.00,18.00,21.60,18.00,18.00,18.00,21.60,18.00,d1447fcb-8431-436e-b9b4-46672a41c236,be67c5cd-a8eb-4254-9ff1-7109735b1273
'P2004','',Basil - Purple,Bunch,'D','','No','available',3.00,4.00,4.40,4.80,4.40,4.40,3.80,4.80,3.80,374446b8-20f3-42cb-9a40-b2cec0fceec6,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'P2005','',Basil - Thai,Bunch,'D','','No','available',1.80,3.30,3.60,3.95,3.60,3.60,3.25,3.95,3.25,1e72d169-dee3-4874-ae15-471a80eeb95f,8c3d6a06-432f-4dd4-a1f8-ad595ebde6ed
'P2006','',Basil - Thai,Kg,'D','','No','available',14.00,25.00,27.00,29.50,27.00,27.00,24.00,29.50,30.00,1e72d169-dee3-4874-ae15-471a80eeb95f,94ab9910-b3ea-495c-a740-198b0364a92f
'P2007','',Basil - Thai (Picked),Kg,'O1','','No','available',60.00,100.00,107.00,113.00,107.00,107.00,98.00,113.00,98.00,6ecb271e-d6ec-4c69-b3c3-c2c9ccba2191,94ab9910-b3ea-495c-a740-198b0364a92f
'R2201','',Basil Seeds (Casa Casa),Pkt (100g),'D','','No','unavailable',4.05,5.50,6.00,6.60,6.00,6.00,5.50,6.60,5.50,1384803a-c73e-402b-8425-fad4bf3717cd,fc73bfc7-6a97-4771-ae47-14a0596ec659
'P2008','',Bay Leaf 'Retail Pnt',Pn,'O2','','No','available',2.00,3.10,3.50,3.80,3.50,3.50,3.00,3.80,3.00,d5aceee3-fc20-40b0-96fa-cd9df025fd02,8f170da3-9efc-40c7-b607-758d6b00e8a2
'P2009','',Bay Leaves,Pn,'O2','','No','available',2.50,3.50,3.90,4.20,3.90,3.90,3.35,4.20,3.00,b661c19b-985b-4da3-944c-7c35644df7af,8f170da3-9efc-40c7-b607-758d6b00e8a2
'P2010','',Bay Leaves (Branch),Branch,'O2','','No','available',2.50,3.50,3.90,4.20,3.90,3.90,3.35,4.20,3.00,06887bca-a633-47ba-9f1c-3601f33eca5a,65f79132-c02d-4d7d-af66-0a6d1dff5b64
'N1701','',Bean Shoots,Bag (1kg),'N5','','No','available',2.50,3.30,3.50,3.96,3.50,3.50,3.25,3.96,3.25,b1c3db64-4550-4116-9164-dabd41c55364,895d6267-d5ac-4cbd-ac1b-6788fd2f46ed
'N1702','',Bean Shoots,Bag (250g),'N5','','No','available',1.80,2.60,2.70,3.12,2.70,2.70,2.50,3.12,2.50,b1c3db64-4550-4116-9164-dabd41c55364,284cfb93-74fe-46f8-9727-f63f7efe9715
'N1703','',Bean Shoots,Bag (4kg),'N5','','No','available',7.00,8.80,9.00,10.56,9.00,9.00,8.80,10.56,8.80,b1c3db64-4550-4116-9164-dabd41c55364,2b2a89ad-dfa4-42fa-a42c-90795a406cf3
'H0717','',Beans - Beanette,Pn (175g),'E2','','No','unavailable',3.00,4.00,4.35,4.80,4.35,4.35,4.00,4.80,4.00,c7626a1d-f57a-4a8d-89e9-0466db52dbc3,f6238260-97cc-49c3-9579-762da3f8531d
'H0718','',Beans - Borlotti,Kg,'F3','','No','available',8.00,10.50,11.25,11.95,11.25,11.25,9.75,11.95,9.75,d641ad00-6dfc-448b-8358-e9c9d65a8b3f,94ab9910-b3ea-495c-a740-198b0364a92f
'H0719','',Beans - Broad,Box (5kg),'F3','','No','available',53.75,67.00,72.00,77.00,72.00,72.00,65.00,77.00,73.00,827cf51d-4a7a-4b8e-b70d-9b6c2174a79d,3d485084-df7f-4606-b912-b5c196504808
'H0720','',Beans - Broad,Kg,'F3','','No','available',10.75,15.50,16.25,16.90,16.25,16.25,14.50,16.90,16.00,827cf51d-4a7a-4b8e-b70d-9b6c2174a79d,94ab9910-b3ea-495c-a740-198b0364a92f
'H0721','',Beans - Butter,Box (5kg),'F3','','No','available',50.00,64.00,67.50,70.00,67.50,67.50,62.00,70.00,56.00,b025311e-0ff6-453a-8409-986b02cada42,3d485084-df7f-4606-b912-b5c196504808
'H0722','',Beans - Butter,Kg,'F3','','No','available',10.00,14.90,15.75,16.35,15.75,15.75,14.50,16.35,13.00,b025311e-0ff6-453a-8409-986b02cada42,94ab9910-b3ea-495c-a740-198b0364a92f
'H0723','',Beans - Euro/Flat,Box (5kg),'F3','','No','available',65.00,77.00,80.00,83.00,80.00,80.00,75.00,83.00,73.00,a574e4b2-1002-4b9a-bfc7-3761f5ab90dd,3d485084-df7f-4606-b912-b5c196504808
'H0724','',Beans - Euro/Flat,Kg,'F3','','No','available',13.00,16.85,17.50,18.35,17.50,17.50,16.50,18.35,15.75,a574e4b2-1002-4b9a-bfc7-3761f5ab90dd,94ab9910-b3ea-495c-a740-198b0364a92f
'H0725','',Beans - Flat/Thin,Kg,'F3','','No','unavailable',13.00,16.85,17.50,18.35,17.50,17.50,16.50,18.35,15.75,3102ea85-c310-419d-96bd-492d8bb1a1d3,94ab9910-b3ea-495c-a740-198b0364a92f
'H0731','',Beans - Green,Box (10kg),'F2','','No','available',25.00,33.75,37.50,41.25,37.50,37.50,32.50,41.25,45.00,b6dd7bc6-d5fb-42c4-adc6-be93d6aff764,578eb97d-53f1-4e79-a2b4-67cea6e7e12b
'H0732','',Beans - Green,Kg,'F2','','No','available',2.50,3.80,4.25,4.65,4.25,4.25,3.65,4.65,5.50,b6dd7bc6-d5fb-42c4-adc6-be93d6aff764,94ab9910-b3ea-495c-a740-198b0364a92f
'H0726','',Beans - Green (Hand Picked),Box (10kg),'J9','','No','available',60.00,77.00,81.00,86.00,81.00,81.00,75.00,86.00,86.00,071e1109-1c49-43db-afd4-546961289314,578eb97d-53f1-4e79-a2b4-67cea6e7e12b
'H0727','',Beans - Green (Hand Picked),Kg,'J9','','No','available',6.00,8.65,9.20,9.75,9.20,9.20,8.50,9.75,9.25,071e1109-1c49-43db-afd4-546961289314,94ab9910-b3ea-495c-a740-198b0364a92f
'H0728','',Beans - Green (Pre-Pack),Pn (150g),'E2','','No','available',2.00,3.90,4.40,4.75,4.40,4.40,4.70,4.75,4.70,95215071-21b0-48a3-a6d5-0c83314c6df5,78bff540-809f-4720-afb8-62df45cd4a9c
'H0729','',Beans - Green Hand Picked (LnE),Kg,'F2','','No','available',2.50,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,a84dfe70-805d-4b0f-9519-62be1509f858,94ab9910-b3ea-495c-a740-198b0364a92f
'H0730','',Beans - Snake,Kg,'E5','','No','limited',7.00,11.50,12.50,13.50,12.50,12.50,11.00,13.50,12.75,46c65836-cf6d-4a6f-95a4-13de386eb72e,94ab9910-b3ea-495c-a740-198b0364a92f
'H0737','',Beetroot,Bag (10kg),'L6','','No','available',16.00,27.00,30.00,33.00,30.00,30.00,25.00,33.00,21.00,70773e8a-623f-4542-864f-5c25f7750720,dcfbc050-a4b9-49aa-9fe4-13e4d6237b79
